Episode,Header Steps,Header Score,Header Max Tile,Completed Time (s),Final Score,Final Steps,Final Max Tile,Running Average Score
1,600,10392,1024.0,509.2,10392,600,1024.0,10392
2,450,6712,512.0,436.8,6980,477,512.0,8686
3,700,12024,1024.0,550.4,12200,725,1024.0,9857
4,500,7220,512.0,444.9,7308,510,512.0,9220
5,1100,22324,2048.0,741.9,22852,1145,2048.0,11946
6,950,16108,1024.0,673.4,16128,955,1024.0,12643
7,250,3124,256.0,220.6,3212,266,256.0,11296
8,700,12020,1024.0,584.2,12092,715,1024.0,11396
9,750,12664,1024.0,521.8,12808,769,1024.0,11552
10,900,15684,1024.0,630.1,16136,949,1024.0,12011
11,450,6804,512.0,389.1,7124,485,512.0,11567
12,400,5940,512.0,343.5,6160,432,512.0,11116
13,500,7460,512.0,398.3,7800,537,512.0,10861
14,450,6776,512.0,423.8,7196,494,512.0,10599
15,900,15652,1024.0,650.7,15900,932,1024.0,10953
16,800,14196,1024.0,600.2,14568,843,1024.0,11178
17,700,12032,1024.0,588.1,12436,739,1024.0,11252
18,500,7208,512.0,425.9,7208,501,512.0,11028
19,950,16160,1024.0,638.5,16164,951,1024.0,11298
20,250,3128,256.0,257.6,3220,261,256.0,10894
21,500,7344,512.0,371.5,7412,508,512.0,10728
22,900,15664,1024.0,658.7,16092,936,1024.0,10972
23,950,16116,1024.0,753.8,16284,966,1024.0,11203
24,850,14496,1024.0,636.6,14576,855,1024.0,11344
25,900,15516,1024.0,661.0,15640,913,1024.0,11516
26,900,15444,1024.0,692.7,16064,944,1024.0,11690
27,700,12028,1024.0,543.1,12152,719,1024.0,11708
28,850,15036,1024.0,649.7,15404,897,1024.0,11840
29,700,12024,1024.0,583.3,12232,730,1024.0,11853
30,950,16216,1024.0,713.8,16252,957,1024.0,12000
31,250,3064,256.0,245.9,3076,254,256.0,11712
32,900,15664,1024.0,679.9,16144,947,1024.0,11850
33,650,11364,1024.0,551.4,11764,697,1024.0,11848
34,850,14728,1024.0,665.8,15056,880,1024.0,11942
35,1200,23336,2048.0,864.7,23408,1206,2048.0,12270
36,700,12064,1024.0,533.9,12184,722,1024.0,12267
37,950,16160,1024.0,714.2,16192,958,1024.0,12373
38,850,14492,1024.0,572.3,14632,869,1024.0,12433
39,850,14480,1024.0,640.9,14512,856,1024.0,12486
40,850,14616,1024.0,624.9,14768,870,1024.0,12543
41,450,6764,512.0,401.2,6968,470,512.0,12407
42,850,14488,1024.0,603.6,14504,853,1024.0,12457
43,700,11984,1024.0,544.5,12228,729,1024.0,12452
44,450,6840,512.0,384.9,7108,489,512.0,12330
45,400,6104,512.0,332.1,6136,407,512.0,12193
46,500,7332,512.0,388.7,7344,503,512.0,12087
47,550,9948,1024.0,484.2,10336,596,1024.0,12050
48,900,15452,1024.0,679.3,15544,910,1024.0,12123
49,1200,23428,2048.0,789.5,23476,1209,2048.0,12355
50,600,10356,1024.0,525.0,10704,635,1024.0,12322
51,700,11960,1024.0,523.2,12076,716,1024.0,12317
52,450,6764,512.0,376.2,7184,496,512.0,12218
53,450,6876,512.0,350.2,7188,492,512.0,12123
54,400,6172,512.0,353.6,6296,421,512.0,12015
55,450,6860,512.0,409.5,7060,478,512.0,11925
56,650,11304,1024.0,507.4,11396,670,1024.0,11916
57,450,6860,512.0,387.0,7268,496,512.0,11834
58,400,6168,512.0,378.0,6444,439,512.0,11741
59,450,6788,512.0,358.8,7104,485,512.0,11663
60,800,14040,1024.0,643.3,14468,846,1024.0,11709
61,500,7692,512.0,391.3,7692,501,512.0,11643
62,700,11724,1024.0,572.8,12300,746,1024.0,11654
63,950,16156,1024.0,591.7,16180,952,1024.0,11726
64,500,7300,512.0,376.5,7324,503,512.0,11657
65,750,12480,1024.0,547.8,12480,751,1024.0,11670
66,650,11356,1024.0,447.9,11900,698,1024.0,11673
67,450,6852,512.0,369.9,7072,477,512.0,11605
68,350,5244,512.0,304.8,5392,368,512.0,11513
69,700,11936,1024.0,519.2,12156,727,1024.0,11523
70,650,11388,1024.0,457.8,11668,663,1024.0,11525
71,650,11360,1024.0,533.0,11652,684,1024.0,11526
72,450,6640,512.0,325.8,6664,458,512.0,11459
73,1200,23420,2048.0,769.8,23468,1207,2048.0,11623
74,800,13888,1024.0,607.1,14056,823,1024.0,11656
75,450,6588,512.0,354.3,6656,460,512.0,11590
76,450,6876,512.0,362.0,7184,491,512.0,11532
77,700,11972,1024.0,572.5,12332,743,1024.0,11542
78,950,16212,1024.0,704.2,16228,953,1024.0,11602
